Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Solomon Islands,SLB,Net migration,SM.POP.NETM,-1990,1556,1499,1567,1636,1610
Somalia,SOM,Net migration,SM.POP.NETM,53124,77259,35506,-92434,46217,26859
South Africa,ZAF,Net migration,SM.POP.NETM,331124,369901,458246,233284,228222,166972
South Sudan,SSD,Net migration,SM.POP.NETM,65198,62935,-154359,40259,455000,15374
Spain,ESP,Net migration,SM.POP.NETM,464783,236854,144385,299779,119099,111674
Sri Lanka,LKA,Net migration,SM.POP.NETM,-28426,-29875,-29586,-27435,-28011,-27245
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,-202,-202,-92,0,0,-7
St. Lucia,LCA,Net migration,SM.POP.NETM,0,0,0,0,0,-7
St. Martin (French part),MAF,Net migration,SM.POP.NETM,-2682,-2853,-1209,-1475,-1697,-1424
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,-982,-493,-851,-826,-784,-737
Sudan,SDN,Net migration,SM.POP.NETM,-39491,-65933,31664,-26668,-1349998,-544257
Suriname,SUR,Net migration,SM.POP.NETM,191,-296,-486,-988,-988,-1166
Sweden,SWE,Net migration,SM.POP.NETM,72619,37302,51947,58955,55209,50115
Switzerland,CHE,Net migration,SM.POP.NETM,44517,55523,50665,96424,45098,40099
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,500985,269050,211220,735142,757309,546494
Tajikistan,TJK,Net migration,SM.POP.NETM,-9041,-3564,-3564,-17001,-19999,-21236
Tanzania,TZA,Net migration,SM.POP.NETM,-63602,-18587,-7704,-37557,-39388,-29865
Thailand,THA,Net migration,SM.POP.NETM,5221,32277,-2093,21683,19648,23321
Timor-Leste,TLS,Net migration,SM.POP.NETM,3942,3793,3111,-5519,-5620,-2552
Togo,TGO,Net migration,SM.POP.NETM,-1985,-986,-986,-1997,-1997,-14014
Tonga,TON,Net migration,SM.POP.NETM,-1778,-1807,-2220,-2218,-2173,-2149
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,-19251,427,5749,4247,2126,1334
Tunisia,TUN,Net migration,SM.POP.NETM,-19612,-19188,-9190,-14001,-14001,-15221
Turkiye,TUR,Net migration,SM.POP.NETM,-15690,37934,20283,-301544,-318070,-275952
Turkmenistan,TKM,Net migration,SM.POP.NETM,19735,19913,17617,14141,15005,14646
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,1359,682,682,193,193,176
Tuvalu,TUV,Net migration,SM.POP.NETM,-343,-355,-366,-320,-323,-280
Uganda,UGA,Net migration,SM.POP.NETM,107210,43464,43464,-118843,-126181,-117924
Ukraine,UKR,Net migration,SM.POP.NETM,-6908,-4167,-1129,-5699445,-299961,1146012
United Arab Emirates,ARE,Net migration,SM.POP.NETM,-125186,92541,421663,322773,300004,278439
United Kingdom,GBR,Net migration,SM.POP.NETM,232727,144221,462967,487029,445523,417114
United States,USA,Net migration,SM.POP.NETM,1774500,329769,674787,1319009,1322668,1286132
Uruguay,URY,Net migration,SM.POP.NETM,-2899,-1482,-1482,-1501,-1501,-1348
Uzbekistan,UZB,Net migration,SM.POP.NETM,-9341,-9208,-9205,-5007,-6004,-7066
Vanuatu,VUT,Net migration,SM.POP.NETM,-652,-201,-201,0,0,-43
"Venezuela, RB",VEN,Net migration,SM.POP.NETM,-975534,-524649,-332936,-141107,-112899,-105297
Viet Nam,VNM,Net migration,SM.POP.NETM,-2051,-6457,-5418,-78977,-81789,-59645
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,-2743,0,-214,-444,-444,-420
West Bank and Gaza,PSE,Net migration,SM.POP.NETM,-24733,-12369,-12369,-5006,-24996,-23145
"Yemen, Rep.",YEM,Net migration,SM.POP.NETM,2129,-97982,-81248,-10448,-5233,-10482
Zambia,ZMB,Net migration,SM.POP.NETM,18385,8156,8143,-8566,9521,7381
Zimbabwe,ZWE,Net migration,SM.POP.NETM,-103107,-89440,-74623,-102828,-97380,-60528
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,
