Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Iraq,IRQ,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Ireland,IRL,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Isle of Man,IMN,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Israel,ISR,"Compulsory education, duration (years)",SE.COM.DURS,15,15,15,15,15,..
Italy,ITA,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Jamaica,JAM,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Japan,JPN,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Jordan,JOR,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Kazakhstan,KAZ,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Kenya,KEN,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Kiribati,KIR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
"Korea, Dem. People's Rep.",PRK,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
"Korea, Rep.",KOR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Kosovo,XKX,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Kuwait,KWT,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Kyrgyz Republic,KGZ,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Lao PDR,LAO,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Latvia,LVA,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Lebanon,LBN,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Lesotho,LSO,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
Liberia,LBR,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
